Species TypeII W70 W7 WDD1 WDD2 WDD3
12C 7.93E-02 5.08E-02 4.83E-02 1.80E-03 1.15E-03 5.82E-04
13C 3.80E-09 1.56E-09 1.40E-06 3.52E-08 1.04E-08 6.90E-09
14N 1.56E-03 3.31E-08 1.16E-06 3.08E-04 2.44E-04 7.42E-05
15N 1.66E-08 4.13E-07 1.32E-09 6.84E-07 2.75E-07 1.68E-07
16O 1.80 1.33E-01 1.43E-01 9.96E-02 6.93E-02 4.69E-02
17O 9.88E-08 3.33E-10 3.54E-08 3.99E-06 4.50E-06 1.72E-06
18O 4.61E-03 2.69E-10 8.25E-10 6.96E-07 4.62E-07 2.42E-07
19F 1.16E-09 1.37E-10 5.67E-10 1.68E-09 8.90E-10 5.48E-10
20Ne 2.12E-01 2.29E-03 2.02E-03 1.45E-03 9.13E-04 6.77E-04
21Ne 1.08E-03 2.81E-08 8.46E-06 4.09E-06 1.47E-06 2.30E-06
22Ne 1.83E-02 2.15E-08 2.49E-03 1.34E-05 1.96E-06 1.39E-06
23Na 6.51E-03 1.41E-05 6.32E-05 3.20E-05 1.30E-05 6.53E-06
24Mg 8.83E-02 1.58E-02 8.50E-03 8.29E-03 4.76E-03 2.93E-03
25Mg 1.44E-02 1.64E-07 4.05E-05 4.60E-05 2.39E-05 1.44E-05
26Mg 2.01E-02 1.87E-07 3.18E-05 5.52E-05 3.57E-05 1.09E-05
27Al 1.48E-02 1.13E-04 9.86E-04 4.65E-04 2.74E-04 1.73E-04
28Si 1.05E-01 1.38E-01 1.50E-01 3.48E-01 2.71E-01 2.04E-01
29Si 8.99E-03 6.03E-05 8.61E-04 6.05E-04 3.87E-04 2.49E-04
30Si 8.05E-03 3.09E-05 1.74E-03 1.07E-03 6.35E-04 3.94E-04
31P 1.21E-03 8.51E-05 4.18E-04 2.67E-04 1.80E-04 1.23E-04
32S 3.84E-02 9.19E-02 8.41E-02 2.09E-01 1.65E-01 1.24E-01
33S 1.78E-04 5.83E-05 4.50E-04 3.48E-04 2.49E-04 1.74E-04
34S 2.62E-03 2.84E-06 1.90E-03 3.42E-03 2.50E-03 1.75E-03
36S 1.78E-06 1.09E-11 3.15E-07 2.29E-07 1.33E-07 8.58E-08
35Cl 1.01E-04 8.06E-06 1.34E-04 1.21E-04 9.83E-05 7.67E-05
37Cl 1.88E-05 5.36E-06 3.98E-05 4.23E-05 3.36E-05 2.52E-05
36Ar 6.62E-03 1.99E-02 1.49E-02 4.12E-02 3.35E-02 2.50E-02
38Ar 1.37E-03 5.93E-07 1.06E-03 1.71E-03 1.45E-03 1.12E-03
40Ar 2.27E-08 1.14E-12 1.26E-08 8.16E-09 6.08E-09 4.53E-09
39K 6.23E-05 1.82E-06 8.52E-05 1.05E-04 9.00E-05 7.00E-05
41K 5.07E-06 5.33E-07 7.44E-06 8.39E-06 7.12E-06 5.53E-06
40Ca 5.77E-03 1.95E-02 1.23E-02 4.07E-02 3.45E-02 2.58E-02
42Ca 4.23E-05 1.55E-08 3.52E-05 4.69E-05 4.06E-05 3.24E-05
43Ca 1.08E-06 6.81E-08 1.03E-07 6.97E-08 6.31E-08 4.73E-08
44Ca 5.53E-05 1.55E-05 8.86E-06 2.06E-05 2.07E-05 1.42E-05
46Ca 1.43E-10 5.88E-11 1.99E-09 6.17E-08 7.18E-08 3.00E-08
48Ca 5.33E-14 5.96E-12 7.10E-12 4.21E-06 4.41E-06 3.62E-06
45Sc 2.29E-07 3.92E-08 2.47E-07 3.54E-07 3.23E-07 2.51E-07
46Ti 7.48E-06 7.87E-07 1.71E-05 2.06E-05 1.76E-05 1.44E-05
47Ti 2.11E-06 7.49E-07 6.04E-07 1.21E-06 1.24E-06 7.40E-07
48Ti 1.16E-04 3.21E-04 2.03E-04 8.17E-04 8.53E-04 6.76E-04
49Ti 5.98E-06 1.64E-06 1.69E-05 6.55E-05 6.71E-05 5.24E-05
50Ti 3.81E-10 1.14E-05 1.26E-05 4.57E-04 4.60E-04 4.80E-04
50V 7.25E-10 5.66E-09 8.28E-09 5.49E-08 5.69E-08 4.52E-08
51V 1.00E-05 2.10E-05 5.15E-05 2.92E-04 3.18E-04 2.10E-04
50Cr 4.64E-05 7.61E-05 2.71E-04 5.86E-04 5.24E-04 3.98E-04
52Cr 1.15E-03 6.63E-03 5.15E-03 1.75E-02 2.01E-02 1.67E-02
53Cr 1.19E-04 4.65E-04 7.85E-04 2.02E-03 2.26E-03 1.87E-03
54Cr 2.33E-08 1.79E-04 1.90E-04 2.03E-03 2.03E-03 2.08E-03
55Mn 3.86E-04 6.27E-03 8.23E-03 1.57E-02 1.88E-02 1.44E-02
54Fe 3.62E-03 8.18E-02 1.04E-01 7.26E-02 7.08E-02 6.29E-02
56Fe 8.44E-02 6.72E-01 6.13E-01 4.56E-01 6.15E-01 7.62E-01
57Fe 2.72E-03 1.98E-02 2.55E-02 1.03E-02 1.39E-02 1.94E-02
58Fe 7.22E-09 9.34E-04 9.63E-04 4.09E-03 4.06E-03 4.10E-03
59Co 7.27E-05 6.28E-08 1.02E-03 6.83E-04 8.60E-04 1.12E-03
58Ni 3.63E-03 9.67E-02 1.28E-01 3.01E-02 3.34E-02 4.62E-02
60Ni 1.75E-03 1.43E-02 1.05E-02 4.03E-03 4.15E-03 4.78E-03
61Ni 8.35E-05 2.30E-04 2.51E-04 7.93E-05 9.23E-05 1.17E-04
62Ni 5.09E-04 1.37E-03 2.66E-03 1.26E-03 1.36E-03 1.88E-03
64Ni 3.20E-14 1.22E-06 1.31E-06 3.45E-04 3.35E-04 3.61E-04
63Cu 8.37E-07 2.86E-06 1.79E-06 3.91E-05 4.25E-05 3.49E-05
65Cu 4.07E-07 9.60E-07 6.83E-07 1.48E-05 1.59E-05 1.00E-05
64Zn 1.03E-05 1.05E-04 1.22E-05 3.54E-07 6.97E-07 2.56E-06
66Zn 8.61E-06 8.65E-06 2.12E-05 3.15E-05 3.18E-05 3.74E-05
67Zn 1.52E-08 3.96E-09 1.34E-08 3.55E-06 3.90E-06 1.98E-06
68Zn 3.92E-09 3.29E-09 1.02E-08 4.38E-07 4.94E-07 2.81E-07
