M 1H 3He 4He 12C 13C 14N 15N 16O 17O 18O 20Ne 22Ne 24Mg 28Si 32S 40Ca 56Fe Mr
6 3.16 1.80E-04 1.52 2.80E-03 1.65E-04 4.72E-03 2.04E-06 8.17E-03 3.99E-05 1.56E-05 1.93E-04 4.73E-08 NaN NaN NaN NaN NaN 1.30
7 3.61 1.64E-04 2.07 3.22E-03 1.99E-04 6.42E-03 2.34E-06 9.35E-03 3.93E-05 1.80E-05 2.34E-04 5.45E-08 NaN NaN NaN NaN NaN 1.30
9 4.44 1.40E-04 2.71 9.03E-02 2.49E-04 8.60E-03 1.45E-05 0.162 4.00E-05 2.19E-05 1.54E-02 2.94E-04 6.65E-03 3.74E-02 1.90E-02 3.71E-03 0.169 1.35
12 5.59 1.15E-04 3.54 0.171 3.23E-04 1.16E-02 5.92E-05 0.707 6.26E-05 4.81E-04 0.121 3.86E-04 3.92E-02 9.22E-02 4.08E-02 6.86E-03 0.169 1.50
15 6.71 1.00E-04 4.28 0.240 3.73E-04 1.52E-02 7.12E-05 1.31 8.36E-05 2.95E-05 0.141 4.53E-04 5.86E-02 0.194 9.69E-02 1.40E-02 0.125 1.82
20 8.40 1.07E-04 5.38 0.271 4.89E-04 1.87E-02 1.33E-04 2.95 7.66E-05 3.98E-05 9.31E-02 5.68E-04 4.77E-02 0.374 0.200 2.02E-02 0.192 2.04
30 11.39 8.51E-05 7.58 0.319 4.35E-04 3.13E-02 5.96E-05 3.03 3.20E-04 4.12E-05 0.510 7.82E-04 0.131 2.32E-02 2.38E-03 2.77E-04 4.46E-03 6.98
40 14.41 7.77E-05 9.46 0.361 5.72E-04 4.06E-02 8.17E-06 2.12 3.60E-04 3.31E-05 0.743 9.84E-04 0.223 3.13E-03 1.90E-03 2.87E-04 5.61E-03 12.6
60 19.00 9.38E-05 15.19 0.366 6.88E-04 6.84E-02 1.05E-05 3.74 3.75E-04 4.22E-05 0.667 1.41E-03 0.275 4.48E-03 2.72E-03 4.11E-04 8.04E-03 20.6
100 28.17 1.26E-04 26.66 0.375 9.20E-04 0.124 1.52E-05 6.98 4.04E-04 6.04E-05 0.515 2.26E-03 0.379 7.19E-03 4.36E-03 6.60E-04 1.29E-02 36.7
120 32.05 1.20E-04 52.10 0.127 1.63E-03 0.224 2.04E-05 0.147 3.15E-04 6.12E-05 2.59E-02 3.79E-03 8.00E-03 1.11E-02 6.71E-03 1.01E-03 1.98E-02 35.2
150 56.67 6.60E-04 57.84 7.41E-02 8.88E-04 0.153 7.32E-05 0.159 6.30E-05 3.63E-04 3.51E-02 4.72E-03 1.09E-02 1.50E-02 9.11E-03 1.38E-03 2.69E-02 35.00
200 75.57 8.80E-04 88.74 9.89E-02 1.18E-03 0.227 9.76E-05 0.211 8.40E-05 4.84E-04 5.04E-02 6.77E-03 1.56E-02 2.15E-02 1.31E-02 1.98E-03 3.86E-02 35.00
300 159.2 1.32E-03 131.6 0.442 1.78E-03 0.480 2.73E-04 4.34 1.26E-04 7.27E-04 0.692 1.20E-02 0.330 0.126 3.01E-02 4.10E-03 7.29E-02 2.68
500 295.9 2.20E-03 192.0 0.551 2.96E-03 0.810 3.18E-04 3.82 2.10E-04 1.21E-03 0.658 2.01E-02 0.226 9.95E-02 4.01E-02 5.92E-03 0.115 5.67
1000 591.9 4.40E-03 394.0 0.798 5.92E-03 1.65 5.62E-04 4.35 4.20E-04 2.42E-03 0.811 4.02E-02 0.273 0.165 7.97E-02 1.19E-02 0.232 5.67
